TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
USA,2142159,25237,117526,701,852375,1172258,16749,6473,355,24315393,73480,330912290,North America
Brazil,850796,20894,42791,890,427610,380395,8318,4004,201,1476057,6947,212488104,South America
Russia,520129,8706,6829,114,274641,238659,2300,3564,47,14574117,99869,145931723,Europe
India,321626,12023,9199,309,162326,150101,8944,233,7,5507182,3993,1379344820,Asia
UK,294375,1425,41662,181,N/A,N/A,492,4337,614,6624676,97609,67869522,Europe
Spain,290685,396,27136,0,N/A,N/A,617,6217,580,4465338,95507,46753986,Europe
Italy,236651,346,34301,78,174865,27485,220,3914,567,4564191,75484,60465633,Europe
Peru,220749,0,6308,0,107133,107308,1089,6700,191,1315417,39923,32948535,South America
Germany,187423,172,8867,4,171900,6656,447,2237,106,4694147,56035,83771837,Europe
Iran,184955,2410,8730,71,146748,29477,2755,2203,104,1219400,14527,83939011,Asia
Turkey,176677,1459,4792,14,150087,21798,684,2096,57,2586995,30690,84294508,Asia
Chile,167355,6509,3101,231,137296,26958,1656,8758,162,819999,42913,19108331,South America
France,156813,526,29398,24,72808,54607,871,2403,450,1384633,21215,65267057,Europe
Mexico,139196,5222,16448,504,101767,20981,378,1080,128,393714,3055,128866423,North America
Pakistan,132405,6472,2551,88,50056,79798,111,600,12,839019,3802,220661983,Asia
Saudi Arabia,123308,3366,932,39,82548,39828,1843,3545,27,1087021,31249,34785871,Asia
Canada,98410,467,8107,58,59354,30949,1937,2609,215,2113924,56033,37726251,North America
Bangladesh,84379,2856,1139,44,17828,65412,1,513,7,489960,2976,164609508,Asia
Qatar,78416,1828,70,0,55252,23094,232,27928,25,286830,102155,2807805,Asia
South Africa,65736,3809,1423,69,36850,27463,208,1109,24,1087887,18354,59271249,Africa
Belgium,59918,99,9650,4,16547,33721,88,5171,833,1010059,87169,11587314,Europe
Belarus,53241,721,303,5,29111,23827,92,5634,32,714324,75594,9449458,Europe
Sweden,50931,180,4874,20,N/A,N/A,272,5045,483,325000,32190,10096321,Europe
Colombia,48746,1888,1592,47,19426,27728,335,959,31,482832,9494,50856291,South America
Netherlands,48640,179,6057,4,N/A,N/A,77,2839,354,455067,26561,17133178,Europe
Ecuador,46356,578,3874,46,22865,19617,219,2629,220,134141,7609,17629274,South America
Egypt,42980,1677,1484,62,11529,29967,41,420,15,135000,1321,102231323,Africa
UAE,41990,491,288,1,26761,14941,1,4248,29,2626000,265670,9884452,Asia
Singapore,40197,347,26,1,28808,11363,1,6873,4,488695,83564,5848152,Asia
Indonesia,37420,1014,2091,43,13776,21553,0,137,8,495527,1813,273381886,Asia
Portugal,36463,283,1512,7,22438,12513,77,3576,148,975737,95680,10197961,Europe
Kuwait,35466,514,289,4,25882,9295,176,8311,68,332288,77868,4267336,Asia
Switzerland,31094,31,1938,0,28800,356,15,3594,224,453745,52446,8651628,Europe
Ukraine,30506,753,880,10,13976,15650,306,697,20,479111,10953,43744419,Europe
Argentina,30295,1531,815,30,9083,20397,274,671,18,228324,5054,45175755,South America
Poland,29017,440,1237,15,14104,13676,77,767,33,1169088,30889,37848394,Europe
Philippines,25392,605,1074,22,5706,18612,82,232,10,495449,4524,109507509,Asia
Ireland,25295,45,1705,0,22698,892,28,5126,345,367780,74524,4935066,Europe
Afghanistan,24102,556,451,5,4201,19450,19,620,12,54770,1409,38879781,Asia
Dominican Republic,22572,564,577,9,13084,8911,110,2082,53,107175,9885,10842611,North America
Oman,22077,1006,99,3,7530,14448,94,4329,19,136164,26703,5099223,Asia
Romania,21679,275,1394,14,15635,4650,171,1127,72,552670,28721,19242854,Europe
Panama,20059,848,429,8,13759,5871,96,4653,100,89736,20814,4311253,North America
Israel,18972,177,300,0,15357,3315,33,2063,33,739627,80415,9197590,Asia
Iraq,18950,1180,549,53,7515,10886,111,472,14,359950,8960,40172534,Asia
Bahrain,17713,444,37,1,12191,5485,12,10432,22,410842,241972,1697893,Asia
Japan,17382,50,924,2,15580,878,76,137,7,336161,2658,126492732,Asia
Austria,17078,14,677,2,16012,389,11,1897,75,520976,57860,9004010,Europe
Bolivia,16929,764,559,26,2431,13939,71,1451,48,42741,3664,11664961,South America
Armenia,16004,723,264,6,6081,9659,10,5401,89,80130,27044,2962996,Asia
Nigeria,15682,501,407,8,5101,10174,7,76,2,90464,439,205850206,Africa
Kazakhstan,14238,366,73,3,8829,5336,77,759,4,1050098,55959,18765538,Asia
Serbia,12251,76,253,1,11348,650,15,1402,29,301126,34458,8738833,Europe
Denmark,12139,40,597,3,11035,507,11,2096,103,786198,135756,5791277,Europe
S. Korea,12051,48,277,0,10691,1083,15,235,5,1094704,21353,51267244,Asia
Moldova,11459,366,398,13,6421,4640,378,2840,99,63328,15697,4034360,Europe
Ghana,11118,262,48,0,3979,7091,4,358,2,245448,7908,31037593,Africa
Algeria,10810,112,760,9,7420,2630,39,247,17,0,0,43809098,Africa
Czechia,9960,22,329,0,7219,2412,14,930,31,494805,46208,10708097,Europe
Azerbaijan,9570,352,115,2,5309,4146,66,944,11,362654,35783,10134773,Asia
Guatemala,8982,421,351,17,1702,6929,5,502,20,31427,1756,17897934,North America
Morocco,8692,82,212,0,7696,784,7,236,6,405898,11003,36888828,Africa
Cameroon,8681,0,212,0,4836,3633,28,327,8,0,0,26508397,Africa
Norway,8628,8,242,0,8138,248,5,1592,45,277253,51161,5419225,Europe
Malaysia,8445,43,120,1,7311,1014,4,261,4,618360,19118,32345191,Asia
Honduras,8132,463,306,12,844,6982,13,822,31,21540,2177,9896444,North America
Australia,7302,12,102,0,6812,388,2,287,4,1782651,69948,25485226,Australia/Oceania
Finland,7087,14,325,0,6200,562,2,1279,59,217300,39221,5540338,Europe
Sudan,7007,128,447,14,2556,4004,0,160,10,401,9,43792082,Africa
Nepal,5335,273,18,2,913,4404,0,183,0.6,317870,10920,29109067,Asia
Senegal,4996,145,60,4,3228,1708,23,299,4,59008,3529,16718552,Africa
Tajikistan,4971,69,50,1,3288,1633,0,522,5,0,0,9525785,Asia
Uzbekistan,4966,97,19,0,3874,1073,16,148,0.6,748555,22382,33444432,Asia
Ivory Coast,4848,164,45,0,2397,2406,0,184,2,35935,1364,26341285,Africa
DRC,4724,87,106,5,595,4023,0,53,1,0,0,89398642,Africa
Guinea,4484,58,25,1,3213,1246,24,342,2,14407,1099,13112156,Africa
Djibouti,4449,8,41,3,2823,1585,0,4506,42,40855,41382,987266,Africa
Hungary,4064,11,559,4,2476,1029,20,421,58,230139,23820,9661388,Europe
Luxembourg,4063,8,110,0,3922,31,0,6496,176,106062,169578,625448,Europe
