TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,Total1M,Deaths1M,TotalTests,Tests1M,Population,Mainland
USA,2582959,30003,127986,346,1071450,1383523,15765,7804,387,31757216,95949,330981104,North America
Brazil,1284214,4160,56197,88,697526,530491,8318,6042,264,2925935,13766,212541690,South America
Russia,627646,6852,8969,188,393352,225325,2300,4301,61,18707946,128195,145933938,Europe
India,529577,20131,16103,414,310146,203328,8944,384,12,7996707,5795,1379826344,Asia
UK,310250,890,43514,100,N/A,N/A,276,4570,641,9067577,133578,67882162,Europe
Spain,295549,564,28341,3,N/A,N/A,617,6321,606,5162909,110426,46754627,Europe
Peru,272364,0,8939,0,159806,103619,1172,8262,271,1604521,48674,32964854,South America
Chile,267766,4406,5347,279,228055,34364,2090,14009,280,1061274,55523,19114153,South America
Italy,240136,175,34716,8,188584,16836,97,3972,574,5277273,87282,60462488,Europe
Iran,220180,2456,10364,125,180661,29155,2928,2622,123,1583542,18857,83977195,Asia
Mexico,208392,5441,25779,719,120562,62051,378,1617,200,542120,4205,128914507,North America
Pakistan,198883,3138,4035,73,86906,107942,2729,901,18,1214140,5498,220814581,Asia
Turkey,195883,1372,5082,17,169182,21619,984,2323,60,3231835,38325,84326725,Asia
Germany,194539,140,9026,0,177500,8013,364,2322,108,5412655,64605,83781327,Europe
Saudi Arabia,178504,3927,1511,37,122128,54865,2283,5129,43,1500516,43112,34805142,Asia
France,162936,0,29778,0,75649,57509,634,2496,456,1384633,21213,65272172,Europe
Bangladesh,133978,3504,1695,34,54318,77965,1,814,10,715098,4343,164667742,Asia
South Africa,124590,0,2340,0,64111,58139,539,2101,39,1493104,25180,59297807,Africa
Canada,102954,160,8516,8,65908,28530,2085,2728,226,2598243,68850,37737992,North America
Qatar,93663,879,110,1,77225,16328,205,33358,39,345691,123118,2807805,Asia
Colombia,84442,0,2811,0,34937,46694,335,1660,55,688959,13542,50875544,South America
Sweden,65137,0,5280,0,N/A,N/A,171,6450,523,444607,44027,10098554,Europe
Egypt,63923,1168,2708,88,17140,44075,41,625,26,135000,1320,102299983,Africa
Belgium,61209,103,9732,1,16941,34536,35,5282,840,1191959,102852,11589102,Europe
Belarus,61095,382,377,4,44126,16592,89,6466,40,959880,101582,9449348,Europe
Argentina,55343,0,1192,8,19143,35008,457,1225,26,329036,7281,45190471,South America
Ecuador,53856,0,4424,18,26493,22939,288,3053,251,142715,8091,17638795,South America
Indonesia,52812,1385,2720,37,21909,28183,0,193,10,753370,2755,273484557,Asia
Netherlands,50074,69,6105,2,N/A,N/A,29,2922,356,577437,33700,17134521,Europe
UAE,47360,387,311,1,35834,11215,1,4789,31,3136000,317130,9888695,Asia
Kuwait,44391,688,344,3,34586,9461,155,10397,81,375524,87953,4269580,Asia
Iraq,43262,2069,1660,101,19938,21664,254,1076,41,510353,12694,40204671,Asia
Singapore,43246,291,26,0,37163,6057,1,7393,4,684359,116989,5849784,Asia
Ukraine,42065,948,1110,24,18701,22254,386,962,25,631966,14450,43735136,Europe
Portugal,41189,323,1561,6,26864,12764,67,4039,153,1102066,108078,10196909,Europe
Oman,36953,919,159,6,20363,16431,113,7240,31,179461,35162,5103851,Asia
Philippines,34803,730,1236,12,9430,24137,147,318,11,662647,6048,109559319,Asia
Poland,33714,319,1435,6,19972,12307,80,891,38,1469962,38840,37846927,Europe
Switzerland,31555,69,1962,0,29000,593,11,3646,227,555315,64170,8653873,Europe
Dominican Republic,30619,855,718,6,16666,13235,198,2823,66,142340,13123,10846472,North America
Afghanistan,30616,165,703,20,10674,19239,19,787,18,70087,1801,38910996,Asia
Panama,29905,0,575,0,15270,14060,148,6933,133,117266,27185,4313667,North America
Bolivia,29423,920,934,21,7736,20753,71,2521,80,68630,5881,11670618,South America
Romania,26022,325,1589,10,18530,5903,199,1353,83,687618,35742,19238321,Europe
